bin_lo,bin_hi,n,mean_confidence,empirical_accuracy
0.0,0.1,2,0.07102013048085946,0.0
0.1,0.2,12,0.15872050195842632,0.0
0.2,0.30000000000000004,15,0.26019405121196704,0.0
0.30000000000000004,0.4,25,0.34814771487742,0.12
0.4,0.5,24,0.44134784518149095,0.25
0.5,0.6000000000000001,13,0.5561272675038368,0.38461538461538464
0.6000000000000001,0.7000000000000001,0,,
0.7000000000000001,0.8,0,,
0.8,0.9,0,,
0.9,1.0,0,,
